Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
5/3/21,Godzilla vs. Kong,2021,https://boxd.it/1PXghH,3,,,5/3/21
5/19/21,The Woman in the Window,2021,https://boxd.it/1S4UiR,2.5,,,5/19/21
5/24/21,About Time,2013,https://boxd.it/1SLTdH,4.5,,,5/24/21
5/26/21,Pretty Woman,1990,https://boxd.it/1T0ZVb,2.5,,,5/26/21
6/2/21,The Handmaiden,2016,https://boxd.it/1TZaH5,4,,,6/2/21
7/3/21,Your Name.,2016,https://boxd.it/1XXzzd,5,Yes,,7/3/21
7/3/21,Horimiya,2021,https://boxd.it/1XXzEx,3,,,7/3/21
7/3/21,5 Centimeters per Second,2007,https://boxd.it/1XXzIz,3.5,,,7/3/21
7/3/21,Hello World,2019,https://boxd.it/1XXzMh,3.5,,,7/3/21
7/5/21,Flavors of Youth,2018,https://boxd.it/1YgnNv,3.5,,,7/5/21
8/19/21,"Definitely, Maybe",2008,https://boxd.it/24VrjF,,,,7/19/21
7/28/21,Luca,2021,https://boxd.it/21HjYP,4,,,7/28/21
7/28/21,Call Me by Your Name,2017,https://boxd.it/21J52L,4.5,,,7/28/21
8/4/21,Brokeback Mountain,2005,https://boxd.it/22IHqt,4.5,,,8/4/21
8/5/21,Django Unchained,2012,https://boxd.it/22RLwX,4,,,8/5/21
8/6/21,War of the Worlds,2005,https://boxd.it/22Zjpv,2.5,Yes,,8/6/21
8/6/21,Planet of the Apes,2001,https://boxd.it/2307Kt,1.5,,,8/6/21
8/7/21,The Suicide Squad,2021,https://boxd.it/23amPD,3.5,,,8/7/21
8/8/21,Why Him?,2016,https://boxd.it/23biL5,,,,8/7/21
8/9/21,The 40 Year Old Virgin,2005,https://boxd.it/23wgDv,4,Yes,,8/9/21
8/12/21,Tower Heist,2011,https://boxd.it/23NQYN,,Yes,,8/11/21
8/12/21,This Is 40,2012,https://boxd.it/23NRX7,,Yes,,8/11/21
8/12/21,Ant-Man,2015,https://boxd.it/23TsE7,3,Yes,,8/12/21
8/12/21,Snatch,2000,https://boxd.it/23Vgn3,4,Yes,,8/12/21
8/13/21,The Dark Knight,2008,https://boxd.it/241C5x,5,Yes,,8/13/21
8/13/21,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020,https://boxd.it/242wMR,3.5,,,8/13/21
8/19/21,The Big Short,2015,https://boxd.it/24Oanr,3.5,Yes,,8/18/21
8/19/21,The Girl Next Door,2004,https://boxd.it/24UxEn,2.5,,,8/19/21
8/19/21,Serendipity,2001,https://boxd.it/24VrCn,3,Yes,,8/19/21
8/19/21,That Thing Called Tadhana,2014,https://boxd.it/24VOPT,3.5,,,8/19/21
8/20/21,Arrival,2016,https://boxd.it/252p6D,5,Yes,,8/20/21
8/21/21,There's Something About Mary,1998,https://boxd.it/25aU87,,,,8/21/21
8/22/21,Catch Me If You Can,2002,https://boxd.it/25kdUH,4,Yes,,8/22/21
8/26/21,Cast Away,2000,https://boxd.it/25VDD7,4,Yes,,8/22/21
9/14/21,Maurice,1987,https://boxd.it/28D7qr,3.5,,,9/14/21
9/15/21,About Time,2013,https://boxd.it/28KEJ1,4.5,Yes,,9/15/21
9/15/21,How to Lose a Guy in 10 Days,2003,https://boxd.it/28KH7J,2.5,,,9/15/21
9/17/21,In Time,2011,https://boxd.it/28XBp9,2.5,Yes,,9/17/21
9/23/21,Upside Down,2012,https://boxd.it/29KRiV,2.5,Yes,,9/23/21
9/25/21,Free Guy,2021,https://boxd.it/29Zd6l,3.5,,,9/25/21
10/5/21,Jumper,2008,https://boxd.it/2btmo3,1.5,Yes,,10/5/21
10/23/21,The Other Woman,2014,https://boxd.it/2ebi6Z,2,,,10/23/21
10/29/21,The Lorax,2012,https://boxd.it/2f3crF,,Yes,,10/28/21
10/29/21,Jurassic World,2015,https://boxd.it/2f3cwZ,,Yes,,10/28/21
10/29/21,Blade Runner 2049,2017,https://boxd.it/2facRx,3.5,,,10/29/21
10/30/21,Fight Club,1999,https://boxd.it/2faN85,5,Yes,,10/29/21
10/30/21,Meet Joe Black,1998,https://boxd.it/2fc4sN,3,,,10/29/21
10/30/21,Mr. & Mrs. Smith,2005,https://boxd.it/2fjopD,3,,,10/30/21
10/30/21,Train to Busan,2016,https://boxd.it/2fjpxN,4,,,10/30/21
10/31/21,Downsizing,2017,https://boxd.it/2fks8t,2,,,10/30/21
10/31/21,Corpse Bride,2005,https://boxd.it/2fv4bv,3,,,10/31/21
11/1/21,Miss Congeniality,2000,https://boxd.it/2fGY8T,,,,11/1/21
11/14/21,The Cabin in the Woods,2011,https://boxd.it/2hL9dV,4.5,Yes,,11/14/21
11/15/21,Nightcrawler,2014,https://boxd.it/2hM8xR,5,,,11/14/21
11/15/21,Ciao Alberto,2021,https://boxd.it/2hXdnp,4.5,,,11/15/21
11/15/21,The Simpsons in Plusaversary,2021,https://boxd.it/2hXemd,0.5,,,11/15/21
11/16/21,The Irishman,2019,https://boxd.it/2i6e1n,4,,,11/16/21
11/19/21,Dune,2021,https://boxd.it/2iw7wP,3.5,,,11/19/21
11/22/21,Shang-Chi and the Legend of the Ten Rings,2021,https://boxd.it/2iR9X1,3.5,,,11/21/21
11/25/21,Venom: Let There Be Carnage,2021,https://boxd.it/2jinDj,3,,,11/24/21
12/6/21,The Shawshank Redemption,1994,https://boxd.it/2l4KTp,5,Yes,,12/6/21
12/14/21,Eternals,2021,https://boxd.it/2mhenV,2.5,,,12/14/21
12/26/21,Spider-Man,2002,https://boxd.it/2oBpxb,,Yes,,12/24/21
12/26/21,Spider-Man 2,2004,https://boxd.it/2oBpP5,,Yes,,12/25/21
12/26/21,Spider-Man 3,2007,https://boxd.it/2oBqlb,,Yes,,12/26/21
1/3/22,Chef,2014,https://boxd.it/2qTuMf,3.5,,,1/3/22
1/4/22,Howl's Moving Castle,2004,https://boxd.it/2rb5jj,3,,,1/4/22
1/7/22,Inglourious Basterds,2009,https://boxd.it/2rHls1,4.5,Yes,,1/6/22
1/9/22,1917,2019,https://boxd.it/2soGCR,4,,,1/9/22
1/14/22,Romy and Michele's High School Reunion,1997,https://boxd.it/2tGHNV,5,,,1/14/22
1/14/22,Team Thor,2016,https://boxd.it/2tGPPF,,,,1/14/22
1/15/22,The Revenant,2015,https://boxd.it/2tVGYj,3.5,,,1/15/22
1/18/22,Enemy,2013,https://boxd.it/2uLf35,3.5,,,1/18/22
1/20/22,Trixie Mattel: Moving Parts,2019,https://boxd.it/2uYUoz,4,Yes,,1/19/22
1/20/22,Edward Scissorhands,1990,https://boxd.it/2v9t9f,3,,,1/20/22
1/21/22,Encanto,2021,https://boxd.it/2vj3NX,4,,,1/21/22
1/22/22,The Unholy,2021,https://boxd.it/2vyeRh,1,,,1/22/22
1/23/22,The Silence of the Lambs,1991,https://boxd.it/2vzpv9,4,,,1/22/22
2/11/22,Spider-Man: No Way Home,2021,https://boxd.it/2zl0fj,4.5,,,2/10/22
2/11/22,Scream,2022,https://boxd.it/2zkXGL,4,,,2/11/22
2/16/22,Call Me by Your Name,2017,https://boxd.it/2Ak2qb,4.5,Yes,,2/16/22
4/7/22,Moonfall,2022,https://boxd.it/2Jkscb,2,,,4/6/22
4/7/22,Death on the Nile,2022,https://boxd.it/2JksS7,2,,,4/6/22
4/13/22,Ratatouille,2007,https://boxd.it/2KuLkH,,Yes,,4/11/22
4/15/22,Don't Look Up,2021,https://boxd.it/2KPMZj,3.5,,,4/15/22
4/24/22,Orphan,2009,https://boxd.it/2MxBhn,3.5,,,4/22/22
5/3/22,Gone Girl,2014,https://boxd.it/2O9tXZ,4,Yes,,5/3/22
5/9/22,Clueless,1995,https://boxd.it/2P2FbX,4,,,5/8/22
5/9/22,All the Bright Places,2020,https://boxd.it/2PfeVl,2.5,,,5/9/22
5/15/22,Doctor Strange in the Multiverse of Madness,2022,https://boxd.it/2Qf6fl,4,,,5/15/22
6/1/22,Everything Everywhere All at Once,2022,https://boxd.it/2TaPOx,5,,,5/31/22
7/17/22,The Sea Beast,2022,https://boxd.it/31SKKZ,4,,,7/17/22
7/18/22,The Impossible,2012,https://boxd.it/326Nrf,4,,,7/17/22
7/27/22,Thor: Love and Thunder,2022,https://boxd.it/34jLTF,2,,,7/27/22
7/28/22,What We Do in the Shadows,2014,https://boxd.it/34wjQT,4,,,7/28/22
8/7/22,The Witch,2015,https://boxd.it/36CDpN,4,,,8/7/22
8/12/22,The Billionaire,2011,https://boxd.it/37ENu7,3,,,8/12/22
8/24/22,Prometheus,2012,https://boxd.it/3a5PjR,3.5,,,8/24/22
8/25/22,Alien: Covenant,2017,https://boxd.it/3ah1yr,3,,,8/25/22
9/2/22,Cloverfield,2008,https://boxd.it/3bK1et,2.5,Yes,,9/2/22
9/5/22,Juno,2007,https://boxd.it/3c92Mr,5,,,9/4/22
9/5/22,Alien,1979,https://boxd.it/3cl8an,4,,,9/5/22
9/9/22,Ghost,1990,https://boxd.it/3d1QIH,4,,,9/9/22
9/13/22,The Perks of Being a Wallflower,2012,https://boxd.it/3dQ8ev,,Yes,,9/13/22
9/18/22,The Notebook,2004,https://boxd.it/3eFIC1,,Yes,,9/18/22
9/19/22,Her,2013,https://boxd.it/3eWoCJ,3,,,9/19/22
10/13/22,The Terminal,2004,https://boxd.it/3jPOn7,3,,,10/13/22
10/26/22,Can You Keep a Secret?,2019,https://boxd.it/3mBbDJ,0.5,,,10/26/22
10/27/22,The Interview,2014,https://boxd.it/3mKUHp,4,,,10/27/22
11/14/22,Wanted,2008,https://boxd.it/3qK6ph,,,,11/14/22
9/10/23,The Guardians of the Galaxy Holiday Special,2022,https://boxd.it/4PgaGT,4,,,12/1/22
9/10/23,Me Before You,2016,https://boxd.it/4PgaH3,3,Yes,,12/5/22
9/10/23,A Star Is Born,2018,https://boxd.it/4PgaHd,5,,,12/8/22
9/10/23,District 9,2009,https://boxd.it/4PgaHn,2,,,12/15/22
9/10/23,The Hateful Eight,2015,https://boxd.it/4PgaHx,4,,,12/17/22
9/10/23,Guillermo del Toro's Pinocchio,2022,https://boxd.it/4PgaHH,4,,,12/19/22
9/10/23,Glass Onion,2022,https://boxd.it/4PgaHR,5,,,12/31/22
9/10/23,White Noise,2022,https://boxd.it/4PgaI1,3.5,,,1/1/23
9/10/23,It's a Wonderful Life,1946,https://boxd.it/4PgaIb,3.5,,,1/6/23
9/10/23,A Quiet Place Part II,2020,https://boxd.it/4PgaIl,3.5,,,1/8/23
9/10/23,Manchester by the Sea,2016,https://boxd.it/4PgaIv,4.5,,,1/11/23
9/10/23,10 Things I Hate About You,1999,https://boxd.it/4PgaIF,3.5,,,1/11/23
9/10/23,The Shape of Water,2017,https://boxd.it/4PgaIP,4.5,,,1/14/23
9/10/23,Okja,2017,https://boxd.it/4PgaIZ,3,,,1/14/23
9/10/23,The Hatchet Wielding Hitchhiker,2023,https://boxd.it/4PgaJ9,2,,,1/15/23
9/10/23,Ingrid Goes West,2017,https://boxd.it/4PgaJj,2.5,,,1/15/23
9/10/23,Oldboy,2003,https://boxd.it/4PgaJt,4.5,,,1/15/23
9/10/23,Tom of Finland,2017,https://boxd.it/4PgaJD,5,,,1/16/23
9/10/23,Swiss Army Man,2016,https://boxd.it/4PgaJX,4,,,1/16/23
9/10/23,The Lighthouse,2019,https://boxd.it/4PgaK7,4,,,1/17/23
9/10/23,Palm Springs,2020,https://boxd.it/4PgaKh,4,,,1/17/23
9/10/23,Kill Bill: Vol. 2,2004,https://boxd.it/4PgaKr,3.5,Yes,,1/18/23
9/10/23,Kill Bill: Vol. 1,2003,https://boxd.it/4PgaKB,3,Yes,,1/18/23
9/10/23,The Boy in the Striped Pyjamas,2008,https://boxd.it/4PgaKL,2.5,,,1/18/23
9/10/23,Good Will Hunting,1997,https://boxd.it/4PgaKV,4,Yes,,1/19/23
9/10/23,Coraline,2009,https://boxd.it/4PgaMH,3,,,1/20/23
9/10/23,The Secret Life of Walter Mitty,2013,https://boxd.it/4PgaMR,3.5,Yes,,1/21/23
9/10/23,Ex Machina,2015,https://boxd.it/4PgaN1,4.5,,,1/22/23
9/10/23,28 Days Later,2002,https://boxd.it/4PgaNb,0.5,,,1/23/23
9/10/23,Blades of Glory,2007,https://boxd.it/4PgaNl,5,,,1/23/23
9/10/23,Rope,1948,https://boxd.it/4PgaNv,4.5,,,1/24/23
9/10/23,Just Like Heaven,2005,https://boxd.it/4PgaNF,3,,,1/25/23
9/10/23,Hacksaw Ridge,2016,https://boxd.it/4PgaNP,3.5,,,1/25/23
9/10/23,Zoolander,2001,https://boxd.it/4PgaNZ,3,,,1/26/23
9/10/23,Burn After Reading,2008,https://boxd.it/4PgaO9,4,,,1/27/23
9/10/23,The Devil Wears Prada,2006,https://boxd.it/4PgaOj,4,Yes,,1/28/23
9/10/23,The Intouchables,2011,https://boxd.it/4PgaOt,4.5,,,1/28/23
9/10/23,Groundhog Day,1993,https://boxd.it/4PgaOD,3,Yes,,1/29/23
9/10/23,Julie & Julia,2009,https://boxd.it/4PgaON,3,Yes,,1/29/23
9/10/23,The Dictator,2012,https://boxd.it/4PgaOX,3.5,Yes,,1/30/23
9/10/23,All Quiet on the Western Front,2022,https://boxd.it/4PgaP7,3,,,1/30/23
9/10/23,Monty Python and the Holy Grail,1975,https://boxd.it/4PgaPh,3.5,,,1/31/23
9/10/23,"Girl, Interrupted",1999,https://boxd.it/4PgaPr,2.5,,,1/31/23
9/10/23,Life of Brian,1979,https://boxd.it/4PgaPB,3.5,,,2/2/23
9/10/23,Don't Look Up,2021,https://boxd.it/4PgaPL,4,Yes,,2/3/23
9/10/23,This Is the End,2013,https://boxd.it/4PgaPV,3.5,,,2/3/23
9/10/23,Black Panther: Wakanda Forever,2022,https://boxd.it/4PgaQ5,4.5,,,2/5/23
9/10/23,Love Actually,2003,https://boxd.it/4PgaQf,3.5,Yes,,2/5/23
9/10/23,Marry Me,2022,https://boxd.it/4PgaQp,1.5,,,2/6/23
9/10/23,Mickey Blue Eyes,1999,https://boxd.it/4PgaQJ,2,,,2/6/23
9/10/23,Death Takes a Holiday,1934,https://boxd.it/4PgaS1,3.5,,,2/6/23
9/10/23,Ocean's Eight,2018,https://boxd.it/4PgaSb,2,,,2/7/23
9/10/23,TÁR,2022,https://boxd.it/4PgaSl,4,,,2/7/23
9/10/23,The Meyerowitz Stories,2017,https://boxd.it/4PgaSv,3.5,,,2/8/23
9/10/23,October Sky,1999,https://boxd.it/4PgaSF,4.5,,,2/9/23
9/10/23,"tick, tick...BOOM!",2021,https://boxd.it/4PgaSP,5,,,2/9/23
9/10/23,Your Name Engraved Herein,2020,https://boxd.it/4PgaSZ,3.5,,,2/10/23
9/10/23,National Treasure,2004,https://boxd.it/4PgaT9,2,Yes,,2/13/23
9/10/23,Burning,2018,https://boxd.it/4PgaTj,4,,,2/14/23
9/10/23,Black Widow,2021,https://boxd.it/4PgaTt,3.5,,,2/19/23
