Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date,movie_title,movie_id,language,poster,popularity,vote_average
5/3/21,Godzilla vs. Kong,2021,https://boxd.it/1PXghH,3,,,5/3/21,Godzilla vs. Kong,399566,en,https://image.tmdb.org/t/p/original'/pgqgaUx1cJb5oZQQ5v0tNARCeBp.jpg,123.613,7.618
5/3/21,Godzilla vs. Kong,2021,https://boxd.it/1PXghH,3,,,5/3/21,Godzilla vs. Kong,399566,en,https://image.tmdb.org/t/p/original'/pgqgaUx1cJb5oZQQ5v0tNARCeBp.jpg,123.613,7.618
5/19/21,The Woman in the Window,2021,https://boxd.it/1S4UiR,2.5,,,5/19/21,The Woman in the Window,520663,en,https://image.tmdb.org/t/p/original'/wcrjc1uwQaqoqtqi67Su4VCOYo0.jpg,20.96,6.02
5/24/21,About Time,2013,https://boxd.it/1SLTdH,4.5,,,5/24/21,About Time,122906,en,https://image.tmdb.org/t/p/original'/iR1bVfURbN7r1C46WHFbwCkVve.jpg,54.267,7.918
5/24/21,About Time,2013,https://boxd.it/1SLTdH,4.5,,,5/24/21,About Time,122906,en,https://image.tmdb.org/t/p/original'/iR1bVfURbN7r1C46WHFbwCkVve.jpg,54.267,7.918
5/26/21,Pretty Woman,1990,https://boxd.it/1T0ZVb,2.5,,,5/26/21,Pretty Woman,114,en,https://image.tmdb.org/t/p/original'/dZXpE4BlesBJwLl53jUJ9mT1Jxr.jpg,56.968,7.5
6/2/21,The Handmaiden,2016,https://boxd.it/1TZaH5,4,,,6/2/21,The Handmaiden,290098,ko,https://image.tmdb.org/t/p/original'/dLlH4aNHdnmf62umnInL8xPlPzw.jpg,60.195,8.225
7/3/21,Your Name.,2016,https://boxd.it/1XXzzd,5,Yes,,7/3/21,Your Name.,372058,ja,https://image.tmdb.org/t/p/original'/q719jXXEzOoYaps6babgKnONONX.jpg,98.286,8.495
7/3/21,Horimiya,2021,https://boxd.it/1XXzEx,3,,,7/3/21,Horimiya,816363,ja,https://image.tmdb.org/t/p/original'/mOcLC8yEbiMXs82w3dKtkl72Zr8.jpg,7.387,9
7/3/21,5 Centimeters per Second,2007,https://boxd.it/1XXzIz,3.5,,,7/3/21,5 Centimeters per Second,38142,ja,https://image.tmdb.org/t/p/original'/dFipUR6W0y3PPkuVS8gjFd929m2.jpg,37.434,7.3
7/3/21,Hello World,2019,https://boxd.it/1XXzMh,3.5,,,7/3/21,Hello World,604605,ja,https://image.tmdb.org/t/p/original'/vmizP4G4EWsxNf6PLOvGNaFJ89Y.jpg,19.758,7.3
7/5/21,Flavors of Youth,2018,https://boxd.it/1YgnNv,3.5,,,7/5/21,Flavors of Youth,513347,zh,https://image.tmdb.org/t/p/original'/ueHeH5ergeHx27L4SCI9qlmwczA.jpg,27.226,6.9
8/19/21,"Definitely, Maybe",2008,https://boxd.it/24VrjF,,,,7/19/21,"Definitely, Maybe",8390,en,https://image.tmdb.org/t/p/original'/oUdcZfd8r6HZRVIQeaTU0XtQFeQ.jpg,26.127,6.93
7/28/21,Luca,2021,https://boxd.it/21HjYP,4,,,7/28/21,Luca,508943,en,https://image.tmdb.org/t/p/original'/jTswp6KyDYKtvC52GbHagrZbGvD.jpg,89.711,7.8
7/28/21,Call Me by Your Name,2017,https://boxd.it/21J52L,4.5,,,7/28/21,Call Me by Your Name,398818,en,https://image.tmdb.org/t/p/original'/mZ4gBdfkhP9tvLH1DO4m4HYtiyi.jpg,64.968,8.144
7/28/21,Call Me by Your Name,2017,https://boxd.it/21J52L,4.5,,,7/28/21,Call Me by Your Name,398818,en,https://image.tmdb.org/t/p/original'/mZ4gBdfkhP9tvLH1DO4m4HYtiyi.jpg,64.968,8.144
8/4/21,Brokeback Mountain,2005,https://boxd.it/22IHqt,4.5,,,8/4/21,Brokeback Mountain,142,en,https://image.tmdb.org/t/p/original'/5UZ283LuT8ClE4Iqw3u4gGZizab.jpg,50.859,7.8
8/5/21,Django Unchained,2012,https://boxd.it/22RLwX,4,,,8/5/21,Django Unchained,68718,en,https://image.tmdb.org/t/p/original'/7oWY8VDWW7thTzWh3OKYRkWUlD5.jpg,201.727,8.179
8/5/21,Django Unchained,2012,https://boxd.it/22RLwX,4,,,8/5/21,Django Unchained,68718,en,https://image.tmdb.org/t/p/original'/7oWY8VDWW7thTzWh3OKYRkWUlD5.jpg,201.727,8.179
