id,director,director_number
00001,Adam Wingard,1
00002,Joe Wright,1
00003,Richard Curtis,1
00004,Garry Marshall,1
00005,Park Chan-wook,1
00006,Tomohiko Ito,1
00007,Makoto Shinkai,1
00008,Makoto Shinkai,1
00009,Hana Matsumoto,1
00010,Yoshitaka Takeuchi,1
00010,Li Haoling,2
00010,Xiaoxing Yi,3
00011,Adam Brooks,1
00012,Enrico Casarosa,1
00013,Luca Guadagnino,1
00014,Ang Lee,1
00015,Quentin Tarantino,1
00016,Tim Burton,1
00017,Steven Spielberg,1
00018,James Gunn,1
00019,John Hamburg,1
00020,Judd Apatow,1
00021,Brett Ratner,1
00022,Judd Apatow,1
00023,Peyton Reed,1
00024,Guy Ritchie,1
00025,Cathy Yan,1
00026,Christopher Nolan,1
00027,Adam McKay,1
00028,Luke Greenfield,1
00029,Peter Chelsom,1
00030,Antoinette Jadaone,1
00031,Denis Villeneuve,1
00032,Bobby Farrelly,1
00032,Peter Farrelly,2
00033,Steven Spielberg,1
00034,Robert Zemeckis,1
00035,James Ivory,1
00036,Donald Petrie,1
00037,Richard Curtis,1
00038,Andrew Niccol,1
00039,Juan Diego Solanas,1
00040,Shawn Levy,1
00041,Doug Liman,1
00042,Nick Cassavetes,1
00043,Chris Renaud,1
00044,Colin Trevorrow,1
00045,Martin Brest,1
00046,David Fincher,1
00047,Denis Villeneuve,1
00048,Doug Liman,1
00049,Yeon Sang-ho,1
00050,Alexander Payne,1
00051,Mike Johnson,1
00051,Tim Burton,2
00052,Donald Petrie,1
00053,Drew Goddard,1
00054,Dan Gilroy,1
00055,David Silverman,1
00056,McKenna Jean Harris,1
00057,Martin Scorsese,1
00058,Denis Villeneuve,1
00059,Destin Daniel Cretton,1
00060,Andy Serkis,1
00061,Frank Darabont,1
00062,Chloé Zhao,1
00063,Sam Raimi,1
00064,Sam Raimi,1
00065,Sam Raimi,1
00066,Jon Favreau,1
00067,Hayao Miyazaki,1
00068,Quentin Tarantino,1
00069,Sam Mendes,1
00070,David Mirkin,1
00071,Taika Waititi,1
00072,Alejandro González Iñárritu,1
00073,Denis Villeneuve,1
00074,Nicholas Zeig-Owens,1
00075,Tim Burton,1
00076,Byron Howard,1
00076,Jared Bush,2
00077,Jonathan Demme,1
00078,Evan Spiliotopoulos,1
00079,Jon Watts,1
00080,Matt Bettinelli-Olpin,1
00080,Tyler Gillett,2
00081,Luca Guadagnino,1
00082,Roland Emmerich,1
