id,genre,genre_number
00001,Action,1
00001,Science Fiction,2
00001,Adventure,3
00002,Crime,1
00002,Mystery,2
00002,Thriller,3
00003,Drama,1
00003,Romance,2
00003,Fantasy,3
00004,Comedy,1
00004,Romance,2
00005,Thriller,1
00005,Drama,2
00005,Romance,3
00006,Animation,1
00006,Romance,2
00006,Science Fiction,3
00007,Animation,1
00007,Romance,2
00007,Drama,3
00008,Animation,1
00008,Romance,2
00008,Drama,3
00009,Drama,1
00010,Animation,1
00010,Romance,2
00010,Drama,3
00011,Comedy,1
00011,Romance,2
00012,Animation,1
00012,Comedy,2
00012,Fantasy,3
00012,Adventure,4
00012,Family,5
00013,Romance,1
00013,Drama,2
00014,Drama,1
00014,Romance,2
00015,Drama,1
00015,Western,2
00016,Thriller,1
00016,Science Fiction,2
00016,Action,3
00016,Adventure,4
00017,Adventure,1
00017,Thriller,2
00017,Science Fiction,3
00018,Action,1
00018,Comedy,2
00018,Adventure,3
00019,Comedy,1
00020,Comedy,1
00020,Romance,2
00021,Action,1
00021,Comedy,2
00022,Comedy,1
00023,Science Fiction,1
00023,Action,2
00023,Adventure,3
00024,Crime,1
00024,Comedy,2
00025,Action,1
00025,Crime,2
00026,Drama,1
00026,Action,2
00026,Crime,3
00026,Thriller,4
00027,Comedy,1
00027,Drama,2
00028,Comedy,1
00028,Romance,2
00029,Comedy,1
00029,Romance,2
00029,Drama,3
00030,Romance,1
00031,Drama,1
00031,Science Fiction,2
00031,Mystery,3
00032,Romance,1
00032,Comedy,2
00033,Drama,1
00033,Crime,2
00034,Adventure,1
00034,Drama,2
00035,Drama,1
00035,Romance,2
00036,Comedy,1
00036,Romance,2
00037,Drama,1
00037,Romance,2
00037,Fantasy,3
00038,Action,1
00038,Thriller,2
00038,Science Fiction,3
00039,Romance,1
00039,Science Fiction,2
00039,Drama,3
00039,Fantasy,4
00040,Comedy,1
00040,Adventure,2
00040,Science Fiction,3
00041,Action,1
00041,Adventure,2
00041,Science Fiction,3
00042,Comedy,1
00042,Romance,2
00043,Animation,1
00043,Family,2
00044,Action,1
00044,Adventure,2
00044,Science Fiction,3
00044,Thriller,4
00045,Fantasy,1
00045,Drama,2
00045,Romance,3
00046,Drama,1
00047,Science Fiction,1
00047,Drama,2
00048,Action,1
00048,Comedy,2
00048,Drama,3
00048,Thriller,4
00049,Horror,1
00049,Thriller,2
00049,Action,3
00049,Adventure,4
00050,Drama,1
00050,Science Fiction,2
00051,Romance,1
00051,Fantasy,2
00051,Animation,3
00052,Comedy,1
00052,Crime,2
00052,Action,3
00053,Horror,1
00053,Mystery,2
00053,Thriller,3
00054,Crime,1
00054,Drama,2
00054,Thriller,3
00055,Animation,1
00055,Comedy,2
00055,Fantasy,3
00056,Animation,1
00056,Comedy,2
00056,Family,3
00056,Fantasy,4
00057,Crime,1
00057,Drama,2
00057,History,3
00058,Science Fiction,1
00058,Adventure,2
00059,Action,1
00059,Adventure,2
00059,Fantasy,3
00060,Science Fiction,1
00060,Action,2
00060,Adventure,3
00061,Drama,1
00061,Crime,2
00062,Science Fiction,1
00062,Action,2
00062,Adventure,3
00063,Action,1
00063,Science Fiction,2
00064,Action,1
00064,Adventure,2
00064,Science Fiction,3
00065,Action,1
00065,Adventure,2
00065,Science Fiction,3
00066,Comedy,1
00067,Fantasy,1
00067,Animation,2
00067,Adventure,3
00068,Drama,1
00068,Thriller,2
00068,War,3
00069,War,1
00069,Action,2
00069,Drama,3
00069,History,4
00070,Comedy,1
00070,Romance,2
00071,Comedy,1
00071,Science Fiction,2
00072,Western,1
00072,Drama,2
00072,Adventure,3
00073,Thriller,1
00073,Mystery,2
00074,Documentary,1
00075,Fantasy,1
00075,Drama,2
00075,Romance,3
00076,Animation,1
00076,Comedy,2
00076,Family,3
00076,Fantasy,4
00077,Crime,1
00077,Drama,2
00077,Thriller,3
00078,Horror,1
00078,Mystery,2
00079,Action,1
00079,Adventure,2
00079,Science Fiction,3
00080,Horror,1
00080,Mystery,2
00080,Thriller,3
00081,Romance,1
00081,Drama,2
00082,Science Fiction,1
00082,Adventure,2
00082,Action,3
00083,Mystery,1
00083,Crime,2
00083,Thriller,3
00084,Animation,1
00084,Comedy,2
00084,Family,3
00084,Fantasy,4
00085,Comedy,1
00085,Science Fiction,2
00085,Drama,3
00086,Horror,1
00086,Thriller,2
00086,Mystery,3
00087,Mystery,1
00087,Thriller,2
00087,Drama,3
00088,Comedy,1
00088,Romance,2
00088,Drama,3
00089,Romance,1
00089,Drama,2
00090,Fantasy,1
00090,Action,2
00090,Adventure,3
00091,Action,1
00091,Adventure,2
00091,Science Fiction,3
00092,Animation,1
00092,Adventure,2
00092,Family,3
00092,Fantasy,4
00093,Adventure,1
00093,Drama,2
00093,Thriller,3
00094,Fantasy,1
00094,Action,2
00094,Comedy,3
00095,Comedy,1
00095,Horror,2
00096,Horror,1
00096,Mystery,2
00096,Drama,3
00097,Drama,1
00098,Science Fiction,1
00098,Adventure,2
00098,Mystery,3
00099,Science Fiction,1
00099,Horror,2
00099,Mystery,3
00100,Action,1
00100,Thriller,2
00100,Science Fiction,3
00101,Comedy,1
