entry_id,name,year,letterboxd_uri,rating,rewatch,watched_date,movie_id,language,poster,popularity,vote_average,release_date,revenue,runtime,tagline,genre_1,genre_2,genre_3,genre_4,genre_5,country_1,country_2,country_3,country_4,director_1,director_2,director_3
1,Godzilla vs. Kong,2021,https://boxd.it/1PXghH,3,,2021-05-03,399566,en,https://image.tmdb.org/t/p/original'/pgqgaUx1cJb5oZQQ5v0tNARCeBp.jpg,123.613,7.618,2021-03-24,470116094,114,One will fall.,Action,Science Fiction,Adventure,,,US,,,,Adam Wingard,,
2,The Woman in the Window,2021,https://boxd.it/1S4UiR,2.5,,2021-05-19,520663,en,https://image.tmdb.org/t/p/original'/wcrjc1uwQaqoqtqi67Su4VCOYo0.jpg,20.96,6.02,2021-05-13,0,102,She has nothing to prove but what's real.,Crime,Mystery,Thriller,,,US,,,,Joe Wright,,
3,About Time,2013,https://boxd.it/1SLTdH,4.5,,2021-05-24,122906,en,https://image.tmdb.org/t/p/original'/iR1bVfURbN7r1C46WHFbwCkVve.jpg,54.267,7.918,2013-09-04,87100449,123,What if every moment in life came with a second chance?,Drama,Romance,Fantasy,,,GB,,,,Richard Curtis,,
4,Pretty Woman,1990,https://boxd.it/1T0ZVb,2.5,,2021-05-26,114,en,https://image.tmdb.org/t/p/original'/dZXpE4BlesBJwLl53jUJ9mT1Jxr.jpg,56.968,7.5,1990-03-23,463406268,119,"She walked off the street, into his life and stole his heart.",Comedy,Romance,,,,US,,,,Garry Marshall,,
5,The Handmaiden,2016,https://boxd.it/1TZaH5,4,,2021-06-02,290098,ko,https://image.tmdb.org/t/p/original'/dLlH4aNHdnmf62umnInL8xPlPzw.jpg,60.195,8.225,2016-06-01,38600000,145,Never did they expect to get into a controversial relationship...,Thriller,Drama,Romance,,,KR,,,,Park Chan-wook,,
6,Hello World,2019,https://boxd.it/1XXzMh,3.5,,2021-07-03,604605,ja,https://image.tmdb.org/t/p/original'/vmizP4G4EWsxNf6PLOvGNaFJ89Y.jpg,19.758,7.3,2019-09-20,0,98,This world is overturned in its last one second.,Animation,Romance,Science Fiction,,,JP,,,,Tomohiko Ito,,
7,5 Centimeters per Second,2007,https://boxd.it/1XXzIz,3.5,,2021-07-03,38142,ja,https://image.tmdb.org/t/p/original'/dFipUR6W0y3PPkuVS8gjFd929m2.jpg,37.434,7.3,2007-03-03,0,63,At what speed must I live to see you again?,Animation,Romance,Drama,,,JP,,,,Makoto Shinkai,,
8,Your Name.,2016,https://boxd.it/1XXzzd,5,Yes,2021-07-03,372058,ja,https://image.tmdb.org/t/p/original'/q719jXXEzOoYaps6babgKnONONX.jpg,98.286,8.495,2016-08-26,358000000,106,"Separated by distance, connected by fate.",Animation,Romance,Drama,,,JP,,,,Makoto Shinkai,,
9,Horimiya,2021,https://boxd.it/1XXzEx,3,,2021-07-03,816363,ja,https://image.tmdb.org/t/p/original'/mOcLC8yEbiMXs82w3dKtkl72Zr8.jpg,7.387,9,2021-02-05,0,87,,Drama,,,,,JP,,,,Hana Matsumoto,,
10,Flavors of Youth,2018,https://boxd.it/1YgnNv,3.5,,2021-07-05,513347,zh,https://image.tmdb.org/t/p/original'/ueHeH5ergeHx27L4SCI9qlmwczA.jpg,27.226,6.9,2018-08-04,496334,74,Three different stories of youth set in different cities of China.,Animation,Romance,Drama,,,CN,,,,Yoshitaka Takeuchi,Li Haoling,Xiaoxing Yi
11,"Definitely, Maybe",2008,https://boxd.it/24VrjF,,,2021-07-19,8390,en,https://image.tmdb.org/t/p/original'/oUdcZfd8r6HZRVIQeaTU0XtQFeQ.jpg,26.127,6.93,2008-02-08,55447968,112,Three relationships. Three disasters. One last chance.,Comedy,Romance,,,,US,,,,Adam Brooks,,
12,Luca,2021,https://boxd.it/21HjYP,4,,2021-07-28,508943,en,https://image.tmdb.org/t/p/original'/jTswp6KyDYKtvC52GbHagrZbGvD.jpg,89.711,7.8,2021-06-17,51074773,95,Prepare for an unforgettable trip.,Animation,Comedy,Fantasy,Adventure,Family,US,,,,Enrico Casarosa,,
13,Call Me by Your Name,2017,https://boxd.it/21J52L,4.5,,2021-07-28,398818,en,https://image.tmdb.org/t/p/original'/mZ4gBdfkhP9tvLH1DO4m4HYtiyi.jpg,64.968,8.144,2017-07-28,43143046,132,Is it better to speak or die?,Romance,Drama,,,,US,,,,Luca Guadagnino,,
