,movie_title,movie_id,language,poster,popularity,vote_average
0,Godzilla vs. Kong,399566,en,https://image.tmdb.org/t/p/original'/pgqgaUx1cJb5oZQQ5v0tNARCeBp.jpg,123.613,7.618
1,The Woman in the Window,520663,en,https://image.tmdb.org/t/p/original'/wcrjc1uwQaqoqtqi67Su4VCOYo0.jpg,20.96,6.02
2,About Time,122906,en,https://image.tmdb.org/t/p/original'/iR1bVfURbN7r1C46WHFbwCkVve.jpg,54.267,7.918
3,Pretty Woman,114,en,https://image.tmdb.org/t/p/original'/dZXpE4BlesBJwLl53jUJ9mT1Jxr.jpg,56.968,7.5
4,The Handmaiden,290098,ko,https://image.tmdb.org/t/p/original'/dLlH4aNHdnmf62umnInL8xPlPzw.jpg,60.195,8.225
5,Your Name.,372058,ja,https://image.tmdb.org/t/p/original'/q719jXXEzOoYaps6babgKnONONX.jpg,98.286,8.495
6,Horimiya,816363,ja,https://image.tmdb.org/t/p/original'/mOcLC8yEbiMXs82w3dKtkl72Zr8.jpg,7.387,9.0
7,5 Centimeters per Second,38142,ja,https://image.tmdb.org/t/p/original'/dFipUR6W0y3PPkuVS8gjFd929m2.jpg,37.434,7.3
8,Hello World,604605,ja,https://image.tmdb.org/t/p/original'/vmizP4G4EWsxNf6PLOvGNaFJ89Y.jpg,19.758,7.3
9,Flavors of Youth,513347,zh,https://image.tmdb.org/t/p/original'/ueHeH5ergeHx27L4SCI9qlmwczA.jpg,27.226,6.9
10,"Definitely, Maybe",8390,en,https://image.tmdb.org/t/p/original'/oUdcZfd8r6HZRVIQeaTU0XtQFeQ.jpg,26.127,6.93
11,Luca,508943,en,https://image.tmdb.org/t/p/original'/jTswp6KyDYKtvC52GbHagrZbGvD.jpg,89.711,7.8
12,Call Me by Your Name,398818,en,https://image.tmdb.org/t/p/original'/mZ4gBdfkhP9tvLH1DO4m4HYtiyi.jpg,64.968,8.144
13,Brokeback Mountain,142,en,https://image.tmdb.org/t/p/original'/5UZ283LuT8ClE4Iqw3u4gGZizab.jpg,50.859,7.8
14,Django Unchained,68718,en,https://image.tmdb.org/t/p/original'/7oWY8VDWW7thTzWh3OKYRkWUlD5.jpg,201.727,8.179
15,War of the Worlds,74,en,https://image.tmdb.org/t/p/original'/6Biy7R9LfumYshur3YKhpj56MpB.jpg,150.2,6.508
16,Planet of the Apes,869,en,https://image.tmdb.org/t/p/original'/2IZcJHsTugOdyg0Y8ejj4CM2X3a.jpg,211.816,5.746
17,The Suicide Squad,436969,en,https://image.tmdb.org/t/p/original'/kb4s0ML0iVZlG6wAKbbs9NAm6X.jpg,237.262,7.523
18,Why Him?,356305,en,https://image.tmdb.org/t/p/original'/eezFoKz7bXgdbjeieeCYJFXPKSu.jpg,25.314,6.371
19,The 40 Year Old Virgin,6957,en,https://image.tmdb.org/t/p/original'/mVeoqL37gzhMXQVpONi9DGOQ3tZ.jpg,41.913,6.398
20,Tower Heist,59108,en,https://image.tmdb.org/t/p/original'/1HcOyMODYZXnncMikfhYkw3x2ss.jpg,34.242,6.095
21,This Is 40,89492,en,https://image.tmdb.org/t/p/original'/mzUuOIFoVkRTHACRb58vm6mkbBN.jpg,34.269,5.873
22,Ant-Man,102899,en,https://image.tmdb.org/t/p/original'/rQRnQfUl3kfp78nCWq8Ks04vnq1.jpg,76.381,7.078
23,Snatch,107,en,https://image.tmdb.org/t/p/original'/56mOJth6DJ6JhgoE2jtpilVqJO.jpg,83.611,7.811
24,The Dark Knight,155,en,https://image.tmdb.org/t/p/original'/qJ2tW6WMUDux911r6m7haRef0WH.jpg,112.942,8.515
25,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),495764,en,https://image.tmdb.org/t/p/original'/h4VB6m0RwcicVEZvzftYZyKXs6K.jpg,62.967,6.928
26,The Big Short,318846,en,https://image.tmdb.org/t/p/original'/isuQWbJPbjybBEWdcCaBUPmU0XO.jpg,35.168,7.354
27,The Girl Next Door,10591,en,https://image.tmdb.org/t/p/original'/5mVyFHSY2rSsNgD4NfEwV82HigU.jpg,49.792,6.722
