name,year,letterboxd_uri,rating,rewatch,watched_date,movie_id,language,poster,popularity,vote_average,release_date,genres,origin_country,revenue,runtime,tagline,cast,director
Godzilla vs. Kong,2021,https://boxd.it/1PXghH,3,,2021-05-03,399566,en,https://image.tmdb.org/t/p/original'/pgqgaUx1cJb5oZQQ5v0tNARCeBp.jpg,123.613,7.618,2021-03-24,"['Action', 'Science Fiction', 'Adventure']",['US'],470116094,114,One will fall.,"[{'name': 'Alexander Skarsgård', 'gender': 2}, {'name': 'Rebecca Hall', 'gender': 1}, {'name': 'Kaylee Hottle', 'gender': 1}, {'name': 'Brian Tyree Henry', 'gender': 2}, {'name': 'Millie Bobby Brown', 'gender': 1}, {'name': 'Julian Dennison', 'gender': 2}, {'name': 'Demián Bichir', 'gender': 2}, {'name': 'Eiza González', 'gender': 1}, {'name': 'Shun Oguri', 'gender': 2}, {'name': 'Kyle Chandler', 'gender': 2}, {'name': 'Lance Reddick', 'gender': 2}, {'name': 'Hakeem Kae-Kazim', 'gender': 2}, {'name': 'Ronny Chieng', 'gender': 2}, {'name': 'John Pirruccello', 'gender': 2}, {'name': 'Chris Chalk', 'gender': 2}, {'name': 'Conlan Casal', 'gender': 2}, {'name': 'Brad McMurray', 'gender': 2}, {'name': 'Benjamin Rigby', 'gender': 2}, {'name': 'Nick Turello', 'gender': 2}, {'name': 'Daniel Nelson', 'gender': 2}, {'name': 'Priscilla Doueihy', 'gender': 1}, {'name': 'Kei Kudo', 'gender': 2}, {'name': 'Bradd Buckley', 'gender': 2}, {'name': 'John Walton', 'gender': 2}, {'name': 'Daniel Tuiara', 'gender': 2}, {'name': 'David Castillo', 'gender': 2}, {'name': 'Kofi Yiadom', 'gender': 2}, {'name': 'Jim Palmer', 'gender': 2}, {'name': 'Drew Walton', 'gender': 2}, {'name': 'Tara Wraith', 'gender': 1}, {'name': 'Jason Virgil', 'gender': 2}, {'name': 'Grisel Toledo', 'gender': 1}, {'name': 'Jason Szabo', 'gender': 2}, {'name': 'Jason Speer', 'gender': 2}, {'name': 'Sen Shao', 'gender': 2}, {'name': 'Scott M. Schewe', 'gender': 2}, {'name': 'Charles Sans', 'gender': 2}, {'name': 'Tasneem Roc', 'gender': 1}, {'name': 'Jon Quested', 'gender': 2}, {'name': 'Joel Pierce', 'gender': 2}, {'name': 'Sofia Nolan', 'gender': 1}, {'name': 'Shawn McBride', 'gender': 2}, {'name': 'Victoria Liu', 'gender': 1}, {'name': 'Sonny Le', 'gender': 2}, {'name': 'Santi Lawson', 'gender': 1}, {'name': 'Garreth Hadfield', 'gender': 2}, {'name': 'Sam Arnold', 'gender': 2}]",['Adam Wingard']
The Woman in the Window,2021,https://boxd.it/1S4UiR,2.5,,2021-05-19,520663,en,https://image.tmdb.org/t/p/original'/wcrjc1uwQaqoqtqi67Su4VCOYo0.jpg,20.96,6.02,2021-05-13,"['Crime', 'Mystery', 'Thriller']",['US'],0,102,She has nothing to prove but what's real.,"[{'name': 'Amy Adams', 'gender': 1}, {'name': 'Gary Oldman', 'gender': 2}, {'name': 'Anthony Mackie', 'gender': 2}, {'name': 'Fred Hechinger', 'gender': 2}, {'name': 'Wyatt Russell', 'gender': 2}, {'name': 'Brian Tyree Henry', 'gender': 2}, {'name': 'Jennifer Jason Leigh', 'gender': 1}, {'name': 'Jeanine Serralles', 'gender': 1}, {'name': 'Mariah Bozeman', 'gender': 0}, {'name': 'Julianne Moore', 'gender': 1}, {'name': 'Diane Dehn', 'gender': 0}, {'name': 'Daymien Valentino', 'gender': 0}, {'name': 'Anna Cameron', 'gender': 1}, {'name': 'Myers Bartlett', 'gender': 0}, {'name': 'Haven Burton', 'gender': 1}, {'name': 'Ben Davis', 'gender': 2}, {'name': 'Blake Morris', 'gender': 2}, {'name': 'Tracy Letts', 'gender': 2}]",['Joe Wright']
About Time,2013,https://boxd.it/1SLTdH,4.5,,2021-05-24,122906,en,https://image.tmdb.org/t/p/original'/iR1bVfURbN7r1C46WHFbwCkVve.jpg,54.267,7.918,2013-09-04,"['Drama', 'Romance', 'Fantasy']",['GB'],87100449,123,What if every moment in life came with a second chance?,"[{'name': 'Domhnall Gleeson', 'gender': 2}, {'name': 'Rachel McAdams', 'gender': 1}, {'name': 'Bill Nighy', 'gender': 2}, {'name': 'Tom Hollander', 'gender': 2}, {'name': 'Margot Robbie', 'gender': 1}, {'name': 'Lydia Wilson', 'gender': 1}, {'name': 'Lindsay Duncan', 'gender': 1}, {'name': 'Richard Cordery', 'gender': 2}, {'name': 'Joshua McGuire', 'gender': 2}, {'name': 'Will Merrick', 'gender': 2}, {'name': 'Vanessa Kirby', 'gender': 1}, {'name': 'Tom Hughes', 'gender': 2}, {'name': 'Clemmie Dugdale', 'gender': 1}, {'name': 'Harry Hadden-Paton', 'gender': 2}, {'name': 'Mitchell Mullen', 'gender': 2}, {'name': 'Lisa Eichhorn', 'gender': 1}, {'name': 'Jenny Rainsford', 'gender': 1}, {'name': 'Natasha Powell', 'gender': 1}, {'name': 'Mark Healy', 'gender': 0}, {'name': 'Ben Benson', 'gender': 0}, {'name': 'Philip Voss', 'gender': 2}, {'name': 'Tom Godwin', 'gender': 2}, {'name': 'Pal Aron', 'gender': 2}, {'name': 'Catherine Steadman', 'gender': 1}, {'name': 'Andrew Martin Yates', 'gender': 0}, {'name': 'Charlie Barnes', 'gender': 0}, {'name': 'Verity Fullerton', 'gender': 0}, {'name': 'Veronica Owings', 'gender': 0}, {'name': 'Olivia Konten', 'gender': 0}, {'name': 'Sarah Heller', 'gender': 0}, {'name': 'Jaiden Dervish', 'gender': 0}, {'name': 'Jacob Francis', 'gender': 0}, {'name': 'Jago Freud', 'gender': 0}, {'name': 'Ollie Phillips', 'gender': 0}, {'name': 'Sophie Pond', 'gender': 0}, {'name': 'Sophie Brown', 'gender': 1}, {'name': 'Molly Seymour', 'gender': 1}, {'name': 'Matilda Sturridge', 'gender': 1}, {'name': 'Tom Stourton', 'gender': 2}, {'name': 'Rebecca Chew', 'gender': 0}, {'name': 'Jon West', 'gender': 0}, {'name': 'Graham Richard Howgego', 'gender': 0}, {'name': 'Kerrie Liane Studholme', 'gender': 0}, {'name': 'Kenneth Hazeldine', 'gender': 2}, {'name': 'Barbar Gough', 'gender': 0}, {'name': 'Jon Boden', 'gender': 0}, {'name': 'Charlie Curtis', 'gender': 0}, {'name': 'Richard Griffiths', 'gender': 2}, {'name': 'Richard E. Grant', 'gender': 2}, {'name': 'Haruka Abe', 'gender': 1}, {'name': 'Lee Nicholas Harris', 'gender': 2}, {'name': 'Matthew C. Martino', 'gender': 2}, {'name': 'Tom Coulston', 'gender': 0}]",['Richard Curtis']
Pretty Woman,1990,https://boxd.it/1T0ZVb,2.5,,2021-05-26,114,en,https://image.tmdb.org/t/p/original'/dZXpE4BlesBJwLl53jUJ9mT1Jxr.jpg,56.968,7.5,1990-03-23,"['Comedy', 'Romance']",['US'],463406268,119,"She walked off the street, into his life and stole his heart.","[{'name': 'Richard Gere', 'gender': 2}, {'name': 'Julia Roberts', 'gender': 1}, {'name': 'Ralph Bellamy', 'gender': 2}, {'name': 'Jason Alexander', 'gender': 2}, {'name': 'Laura San Giacomo', 'gender': 1}, {'name': 'Alex Hyde-White', 'gender': 2}, {'name': 'Amy Yasbeck', 'gender': 1}, {'name': 'Elinor Donahue', 'gender': 1}, {'name': 'Hector Elizondo', 'gender': 2}, {'name': 'Judith Baldwin', 'gender': 1}, {'name': 'Jason Randal', 'gender': 2}, {'name': 'Bill Applebaum', 'gender': 2}, {'name': 'Tracy Bjork', 'gender': 1}, {'name': 'Gary Greene', 'gender': 2}, {'name': 'Billy Gallo', 'gender': 2}, {'name': 'Abdul Salaam El Razzac', 'gender': 2}, {'name': 'Hank Azaria', 'gender': 2}, {'name': 'Larry Hankin', 'gender': 2}, {'name': 'Julie Paris', 'gender': 1}, {'name': 'Rhonda Hansome', 'gender': 1}, {'name': 'Harvey Keenan', 'gender': 2}, {'name': 'Marty Nadler', 'gender': 2}, {'name': 'Lynda Goodfriend', 'gender': 1}, {'name': 'Reed Anthony', 'gender': 2}, {'name': 'Frank Campanella', 'gender': 2}, {'name': ""Jackie O'Brien"", 'gender': 1}, {'name': 'Cheri Caspari', 'gender': 1}, {'name': 'Scott Marshall', 'gender': 2}, {'name': 'Patrick Richwood', 'gender': 2}, {'name': 'Kathleen Marshall', 'gender': 1}, {'name': 'Laurelle Mehus', 'gender': 1}, {'name': 'Don Feldstein', 'gender': 2}, {'name': 'Marvin Braverman', 'gender': 2}, {'name': 'Al Sapienza', 'gender': 2}, {'name': 'Jeff Michalski', 'gender': 2}, {'name': 'James Patrick Stuart', 'gender': 2}, {'name': 'Lloyd T. Williams', 'gender': 0}, {'name': 'R. Darrell Hunter', 'gender': 2}, {'name': 'James Patrick Dunne', 'gender': 2}, {'name': 'Valorie Armstrong', 'gender': 1}, {'name': 'Steve Restivo', 'gender': 0}, {'name': 'Rodney Kageyama', 'gender': 2}, {'name': 'Douglas Stitzel', 'gender': 0}, {'name': 'Larry Miller', 'gender': 2}, {'name': 'Dey Young', 'gender': 1}, {'name': 'Shane Ross', 'gender': 0}, {'name': 'Carol Williard', 'gender': 1}, {'name': 'Minda Burr', 'gender': 0}, {'name': 'Robyn Peterson', 'gender': 1}, {'name': 'Mariann Aalda', 'gender': 1}, {'name': 'RC Everbeck', 'gender': 2}, {'name': 'Michael French', 'gender': 0}, {'name': 'Allan Kent', 'gender': 2}, {'name': 'Stacy Keach, Sr.', 'gender': 2}, {'name': 'Lucinda Crosby', 'gender': 1}, {'name': 'Nancy Locke', 'gender': 1}, {'name': 'Calvin Remsberg', 'gender': 2}, {'name': 'Lloyd Nelson', 'gender': 2}, {'name': 'Norman Large', 'gender': 0}, {'name': 'Tracy Reiner', 'gender': 1}, {'name': 'Tom Nolan', 'gender': 2}, {'name': 'John David Carson', 'gender': 2}, {'name': 'Daniel Bardol', 'gender': 0}, {'name': 'Karin Calabro', 'gender': 0}, {'name': 'Bruce Eckstut', 'gender': 0}, {'name': 'Amzie Strickland', 'gender': 1}, {'name': 'Mychael Bates', 'gender': 2}, {'name': 'Gary Bohn', 'gender': 0}, {'name': 'Paul Bradley', 'gender': 2}, {'name': 'Robert Buckingham', 'gender': 0}, {'name': 'Selby Dessner', 'gender': 0}, {'name': 'Rio Hackford', 'gender': 2}, {'name': 'Robert Liguori', 'gender': 0}, {'name': 'Garry Marshall', 'gender': 2}, {'name': 'Charles Minsky', 'gender': 2}, {'name': 'Blair Richwood', 'gender': 0}, {'name': 'Randall Rutledge', 'gender': 0}, {'name': 'John Simone', 'gender': 0}]",['Garry Marshall']
The Handmaiden,2016,https://boxd.it/1TZaH5,4,,2021-06-02,290098,ko,https://image.tmdb.org/t/p/original'/dLlH4aNHdnmf62umnInL8xPlPzw.jpg,60.195,8.225,2016-06-01,"['Thriller', 'Drama', 'Romance']",['KR'],38600000,145,Never did they expect to get into a controversial relationship...,"[{'name': 'Kim Min-hee', 'gender': 1}, {'name': 'Kim Tae-ri', 'gender': 1}, {'name': 'Ha Jung-woo', 'gender': 2}, {'name': 'Cho Jin-woong', 'gender': 2}, {'name': 'Kim Hae-sook', 'gender': 1}, {'name': 'Moon So-ri', 'gender': 1}, {'name': 'Lee Yong-nyeo', 'gender': 1}, {'name': 'Kwak Eun-jin', 'gender': 1}, {'name': 'Lee Dong-hwi', 'gender': 2}, {'name': 'Jo Eun-hyung', 'gender': 1}, {'name': 'Rina Takagi', 'gender': 1}, {'name': 'Han Ha-na', 'gender': 0}, {'name': 'Lee Kyu-jung', 'gender': 1}, {'name': 'Kim See-eun', 'gender': 1}, {'name': 'Ha Si-yeon', 'gender': 1}, {'name': 'Eun-yeong Kim', 'gender': 1}, {'name': 'Jeong Ha-dam', 'gender': 1}, {'name': 'Yoo Min-chae', 'gender': 0}, {'name': 'Won Geun-hui', 'gender': 2}, {'name': 'Kim Jong-dae', 'gender': 0}, {'name': 'Jang Han-sun', 'gender': 0}, {'name': 'Kim Lee-woo', 'gender': 2}, {'name': 'Shinsuke Fujimoto', 'gender': 2}, {'name': 'Katsuhiro Nagano', 'gender': 0}, {'name': 'Lee Ji-ha', 'gender': 1}, {'name': 'Tomomitsu Adachi', 'gender': 2}, {'name': 'Takashi Kakizawa', 'gender': 2}, {'name': 'Seo-Yoon Hwang', 'gender': 0}, {'name': 'Shin-hye Park', 'gender': 0}, {'name': 'Lee Ji-hye', 'gender': 0}, {'name': 'So-Yeon Heo', 'gender': 0}, {'name': 'Lee Yoon-jae', 'gender': 2}, {'name': 'Choi Jong-ryul', 'gender': 2}, {'name': 'Kim Joon-woo', 'gender': 0}, {'name': 'Bae Il-hyuck', 'gender': 0}, {'name': 'Kim Soo-woong', 'gender': 2}, {'name': 'Yong-Hyun Jo', 'gender': 0}, {'name': 'Park Ki-ryung', 'gender': 2}, {'name': 'Choi Byung-mo', 'gender': 2}, {'name': 'Han Chang-hyun', 'gender': 2}, {'name': 'Kim In-woo', 'gender': 2}, {'name': 'Kwon Hyuk', 'gender': 2}, {'name': 'Hyung-tae Im', 'gender': 0}, {'name': 'Oh Man-seok', 'gender': 2}, {'name': 'Kim Byung Gi', 'gender': 0}, {'name': 'In-su Kim', 'gender': 0}, {'name': 'Alexander Scarborough', 'gender': 0}, {'name': 'Jin-Chul Kim', 'gender': 0}, {'name': 'Do-Hyung Kim', 'gender': 0}, {'name': 'Eun-ji Hong', 'gender': 0}, {'name': 'Song Da-eun', 'gender': 1}, {'name': 'Jeong In-kyeom', 'gender': 2}, {'name': 'Nam Gyeong-min', 'gender': 0}, {'name': 'Ahn Seong-bong', 'gender': 2}, {'name': 'Seon Uk-hyeon', 'gender': 0}, {'name': 'Lee In-chul', 'gender': 0}]",['Park Chan-wook']
Hello World,2019,https://boxd.it/1XXzMh,3.5,,2021-07-03,604605,ja,https://image.tmdb.org/t/p/original'/vmizP4G4EWsxNf6PLOvGNaFJ89Y.jpg,19.758,7.3,2019-09-20,"['Animation', 'Romance', 'Science Fiction']",['JP'],0,98,This world is overturned in its last one second.,"[{'name': 'Takumi Kitamura', 'gender': 2}, {'name': 'Tori Matsuzaka', 'gender': 2}, {'name': 'Minami Hamabe', 'gender': 1}, {'name': 'Haruka Fukuhara', 'gender': 1}, {'name': 'Minako Kotobuki', 'gender': 1}, {'name': 'Rie Kugimiya', 'gender': 1}, {'name': 'Takehito Koyasu', 'gender': 2}, {'name': 'Moka Hiraguri', 'gender': 1}]",['Tomohiko Ito']
5 Centimeters per Second,2007,https://boxd.it/1XXzIz,3.5,,2021-07-03,38142,ja,https://image.tmdb.org/t/p/original'/dFipUR6W0y3PPkuVS8gjFd929m2.jpg,37.434,7.3,2007-03-03,"['Animation', 'Romance', 'Drama']",['JP'],0,63,At what speed must I live to see you again?,"[{'name': 'Kenji Mizuhashi', 'gender': 2}, {'name': 'Yoshimi Kondou', 'gender': 1}, {'name': 'Satomi Hanamura', 'gender': 1}, {'name': 'Risa Mizuno', 'gender': 1}, {'name': 'Ayaka Onoue', 'gender': 1}, {'name': 'Yuka Terasaki', 'gender': 1}, {'name': 'Yuko Nakamura', 'gender': 1}, {'name': 'Masami Iwasaki', 'gender': 2}, {'name': 'Ryou Naitou', 'gender': 2}, {'name': 'Hiroshi Shimozaki', 'gender': 2}, {'name': 'Takahiro Hirano', 'gender': 2}, {'name': 'Akira Nakagawa', 'gender': 1}, {'name': 'Yoshiko Iseki', 'gender': 1}, {'name': 'Suguru Inoue', 'gender': 2}, {'name': 'Rion Kako', 'gender': 2}, {'name': 'Rika Nakamura', 'gender': 1}, {'name': 'Miki Suga', 'gender': 1}, {'name': 'Mika Sakenobe', 'gender': 1}, {'name': 'Yumiko Atashika', 'gender': 1}, {'name': 'Yukako Saito', 'gender': 1}]",['Makoto Shinkai']
Your Name.,2016,https://boxd.it/1XXzzd,5,Yes,2021-07-03,372058,ja,https://image.tmdb.org/t/p/original'/q719jXXEzOoYaps6babgKnONONX.jpg,98.286,8.495,2016-08-26,"['Animation', 'Romance', 'Drama']",['JP'],358000000,106,"Separated by distance, connected by fate.","[{'name': 'Ryunosuke Kamiki', 'gender': 2}, {'name': 'Mone Kamishiraishi', 'gender': 1}, {'name': 'Ryo Narita', 'gender': 2}, {'name': 'Aoi Yuki', 'gender': 1}, {'name': 'Nobunaga Shimazaki', 'gender': 2}, {'name': 'Kaito Ishikawa', 'gender': 2}, {'name': 'Kanon Tani', 'gender': 1}, {'name': 'Masaki Terasoma', 'gender': 2}, {'name': 'Sayaka Ohara', 'gender': 1}, {'name': 'Kazuhiko Inoue', 'gender': 2}, {'name': 'Chafurin', 'gender': 2}, {'name': 'Yuka Kato', 'gender': 1}, {'name': 'Kana Hanazawa', 'gender': 1}, {'name': 'Masami Nagasawa', 'gender': 1}, {'name': 'Etsuko Ichihara', 'gender': 1}, {'name': 'Yuka Terasaki', 'gender': 1}, {'name': 'Takashi Onozuka', 'gender': 2}, {'name': 'Yohei Namekawa', 'gender': 2}, {'name': 'Miyuu Tsuji', 'gender': 1}, {'name': 'Shinya Hamazoe', 'gender': 2}, {'name': 'Kanami Satou', 'gender': 1}, {'name': 'Shinjirou Gouda', 'gender': 2}, {'name': 'Yasuhiro Kikuchi', 'gender': 2}, {'name': 'Tamari Hinata', 'gender': 1}, {'name': 'Nozomi Yamane', 'gender': 1}, {'name': 'Yuuki Shin', 'gender': 2}, {'name': 'Tatsuya Murakami', 'gender': 2}, {'name': 'Nodoka Hasegawa', 'gender': 1}, {'name': 'Baron Yamazaki', 'gender': 2}, {'name': 'Mimi Tamaki', 'gender': 1}, {'name': 'Suguru Inoue', 'gender': 2}, {'name': 'Ryoko Usami', 'gender': 1}, {'name': 'Miho Morisaki', 'gender': 1}, {'name': 'Tomohiro Yamaguchi', 'gender': 2}, {'name': 'Tsuyoshi Minamijima', 'gender': 2}, {'name': 'Aika Oomae', 'gender': 1}, {'name': 'Takayuki Nakatsukasa', 'gender': 2}, {'name': 'Hiroki Matsukawa', 'gender': 2}, {'name': 'Shouko Negoro', 'gender': 1}, {'name': 'Yuki Ominami', 'gender': 1}, {'name': 'Manami Hanawa', 'gender': 1}, {'name': 'Miho Tabata', 'gender': 1}, {'name': 'Aiko Matsuzaka', 'gender': 1}, {'name': 'Eriko Tomioka', 'gender': 1}, {'name': 'Eiji Yamamoto', 'gender': 2}, {'name': 'Tomoki Lavernhe', 'gender': 2}, {'name': 'Haruna Okawa', 'gender': 1}, {'name': 'Yuine Ikeda', 'gender': 1}, {'name': 'Dan Kanemitsu', 'gender': 2}, {'name': 'C. Elliott Wong', 'gender': 2}, {'name': 'Simona Stanzani Pini', 'gender': 1}, {'name': 'Chris McKenna', 'gender': 2}, {'name': 'Akira Kuwahara', 'gender': 2}, {'name': 'Yusuke Takeda', 'gender': 2}]",['Makoto Shinkai']
Horimiya,2021,https://boxd.it/1XXzEx,3,,2021-07-03,816363,ja,https://image.tmdb.org/t/p/original'/mOcLC8yEbiMXs82w3dKtkl72Zr8.jpg,7.387,9,2021-02-05,['Drama'],['JP'],0,87,,"[{'name': 'Ouji Suzuka', 'gender': 2}, {'name': 'Sayu Kubota', 'gender': 1}, {'name': 'Jin Suzuki', 'gender': 2}, {'name': 'Rion Okamoto', 'gender': 1}, {'name': 'Onodera Akira', 'gender': 2}, {'name': 'Aya Marsh', 'gender': 1}, {'name': 'Yuki Inoue', 'gender': 2}, {'name': 'Aoba Kawai', 'gender': 1}, {'name': 'Ryô Kimura', 'gender': 2}]",['Hana Matsumoto']
Flavors of Youth,2018,https://boxd.it/1YgnNv,3.5,,2021-07-05,513347,zh,https://image.tmdb.org/t/p/original'/ueHeH5ergeHx27L4SCI9qlmwczA.jpg,27.226,6.9,2018-08-04,"['Animation', 'Romance', 'Drama']",['CN'],496334,74,Three different stories of youth set in different cities of China.,"[{'name': 'Taito Ban', 'gender': 2}, {'name': 'Mariya Ise', 'gender': 1}, {'name': 'Minako Kotobuki', 'gender': 1}, {'name': 'Haruka Shiraishi', 'gender': 1}, {'name': 'Hiroki Yasumoto', 'gender': 2}, {'name': 'Takeo Otsuka', 'gender': 2}, {'name': 'Ikumi Hasegawa', 'gender': 1}]","['Yoshitaka Takeuchi', 'Li Haoling', 'Xiaoxing Yi']"
